정보공학관,="0107",503,교직실무,강보은
정보공학관,="0107",513,결혼의성공과실패,윤경자
정보공학관,="0108",103,자료구조,우영운
정보공학관,="0108",104,스마트식음료서비스이론및실무,이상호
정보공학관,="0108",115,환경조각,강태훈
정보공학관,="0108",202,리빙크라프트디자인Ⅳ,이성원
정보공학관,="0108",204,산학과제프로젝트(3D프린터)Ⅱ,김미선
정보공학관,="0108",217,디자인의의미와원리,강재철
정보공학관,="0108",316,한국화실기Ⅱ,김형률
정보공학관,="0108",318,시각조형론Ⅱ,양재범
정보공학관,="0108",501,생활속의수리,강미광
정보공학관,="0108",502,부산지역근현대사의이해,이준영
정보공학관,="0108",503,교직실무,강보은
정보공학관,="0108",513,결혼의성공과실패,윤경자
정보공학관,="0109",112,창의캡스톤디자인,민병현
정보공학관,="0109",113,창의캡스톤디자인,손영석
정보공학관,="0109",115-B,접합공학특론,이상필
정보공학관,="0109",119,창의캡스톤디자인,이두호
정보공학관,="0109",121,구조진동론Ⅰ,이석민
정보공학관,="0109",221,구조역학특론,황주영
정보공학관,="0109",403,도시정책론,윤상복
정보공학관,="0109",413,전공탐색과생애설계Ⅰ-Ⅱ,심성현
정보공학관,="0109",520,표면공학특론,정찬영
정보공학관,="0110",104,관광이벤트기획론,노창현
정보공학관,="0110",507,인체영양생리학,박철
정보공학관,="0110",513,임상영양연구,현숙경
정보공학관,="0111",104,관광이벤트기획론,노창현
정보공학관,="0111",504,기업프로젝트Ⅱ,이현섭
정보공학관,="0111",505,영유아수업과교수실제세미나,손은주
정보공학관,="0111",507,인체영양생리학,박철
정보공학관,="0111",513,임상영양연구,현숙경
정보공학관,="0112",104,관광이벤트기획론,노창현
정보공학관,="0112",504,기업프로젝트Ⅱ,이현섭
정보공학관,="0112",505,영유아수업과교수실제세미나,손은주
정보공학관,="0112",507,인체영양생리학,박철
정보공학관,="0113",504,기업프로젝트Ⅱ,이현섭
정보공학관,="0113",505,영유아수업과교수실제세미나,손은주
정보공학관,="0114",407-1,의안병리분석,박신형
정보공학관,="0201",212,태권도지도자론,김수정
정보공학관,="0201",214,병태생리학,윤병곤
정보공학관,="0201",313,스포츠역학및실습,박재영
정보공학관,="0201",314,마리나운영관리및실습,이재빈
정보공학관,="0201",415,규제경제사례연습,임동순
정보공학관,="0201",512,재무부동산과통계,이범웅
정보공학관,="0201",613,마케팅관리론연구,용가흥
정보공학관,="0202",211,여가교육및실습,이한우
정보공학관,="0202",212,태권도지도자론,김수정
정보공학관,="0202",213,골프역학및실기,박문수
정보공학관,="0202",213,골프역학및실기,박문수
정보공학관,="0202",214,병태생리학,윤병곤
정보공학관,="0202",215,건강체력평가및실기,유병인
정보공학관,="0202",311,여가교육및실습,김찬룡
정보공학관,="0202",312,기본영어,김은지
정보공학관,="0202",313,스포츠역학및실습,박재영
정보공학관,="0202",314,태권도경기분석,권성만
정보공학관,="0202",315,스포츠산업현장실습(산학연계학),이재빈
정보공학관,="0202",415,규제경제사례연습,임동순
정보공학관,="0202",512,재무부동산과통계,이범웅
정보공학관,="0202",513,기본영어,이혜진
정보공학관,="0202",514,금융보험이슈분석및실무,박광수
정보공학관,="0202",613,마케팅관리론연구,용가흥
정보공학관,="0203",103,미래형자동차구조,강민수
정보공학관,="0203",104,기업연계프로젝트Ⅱ,김권동
정보공학관,="0203",115,조형기법Ⅳ,강태훈
정보공학관,="0203",116,금속디자인Ⅳ,천은정
정보공학관,="0203",203,라이노CADⅡ,김미선
정보공학관,="0203",220,디자인스케치Ⅱ(Advance),김민우
정보공학관,="0203",225,어패럴패턴테크닉,김인화
정보공학관,="0203",315,서양미술사Ⅱ,박경애
정보공학관,="0203",318,웹인터랙티브디자인Ⅱ,심미영
정보공학관,="0203",319,비쥬얼커뮤니케이션디자인Ⅱ,양재범
정보공학관,="0203",328-1,가계재무설계,강혜경
정보공학관,="0203",406,서양화연구Ⅱ,김성철
정보공학관,="0203",423,논문지도(박)Ⅱ,오용균
정보공학관,="0203",501,논리적사유와글쓰기,김용하
정보공학관,="0203",502,논리적사유와글쓰기,최중호
정보공학관,="0203",504,기본영어,제선미
정보공학관,="0203",507,공중보건학(캡스톤디자인),이지연
정보공학관,="0203",508,식품학,임화재
정보공학관,="0203",513,가족학,윤경자
정보공학관,="0203",812,VMD(캡스톤디자인),정현주
정보공학관,="0204",103,미래형자동차구조,강민수
정보공학관,="0204",116,금속디자인Ⅳ,천은정
정보공학관,="0204",201,리빙크라프트디자인Ⅱ(캡스톤디자인),이성원
정보공학관,="0204",217,논리적사유와글쓰기,김용하
정보공학관,="0204",220,디자인스케치Ⅱ(Advance),김민우
정보공학관,="0204",223,인테리어디자인Ⅱ,김경미
정보공학관,="0204",315,서양미술사Ⅱ,박경애
정보공학관,="0204",406,서양화연구Ⅱ,김성철
정보공학관,="0204",421,브랜드패키지디자인Ⅱ,오용균
정보공학관,="0204",508,영양과환경,황혜진
정보공학관,="0204",513,가족학,윤경자
정보공학관,="0205",104,호스피탈리티고객만족경영론,이상호
정보공학관,="0205",106,호텔조식메뉴실습,김권동
정보공학관,="0205",116,금속디자인Ⅳ,천은정
정보공학관,="0205",201,리빙크라프트디자인Ⅱ(캡스톤디자인),이성원
정보공학관,="0205",203,3D프린터기초,김미선
정보공학관,="0205",217,기본영어,이혜진
정보공학관,="0205",220,디자인스케치Ⅱ(Advance),김민우
정보공학관,="0205",223,인테리어디자인Ⅱ,김경미
정보공학관,="0205",224,전공탐색과생애설계Ⅰ-Ⅱ,정현주
정보공학관,="0205",315,광고사진과이미지,양재범
정보공학관,="0205",330,아동관찰및행동연구,손은주
