국제관,="0107",112,인클루시브리터러시의힘,김용하
국제관,="0107",120,수리학Ⅱ,류권규
국제관,="0107",127,영화속의과학이해,이혜진
국제관,="0107",229,대중음악의역사와문화,손명균
국제관,="0107",313,의사결정설계및분석,백천현
국제관,="0107",327,여대생진로설계,이정원
국제관,="0107",403,도시정책론,윤상복
국제관,="0107",420,폐기물처리공학Ⅱ,김정권
국제관,="0107",427,유기재료화학,정민수
국제관,="0107",516,금속열처리공학,박영도
국제관,="0107",520,표면공학특론,정찬영
국제관,="0107",603-1,건축기술특론,설현석
국제관,="0107",613,고급캡스톤디자인,양진국
국제관,="0107",614,고급캡스톤디자인,이상범
국제관,="0107",618,친환경주거시설에대한이해,박경순
국제관,="0107",619,고급캡스톤디자인,박률
국제관,="0107",620,고급캡스톤디자인,이형래
국제관,="0107",724,친환경건축,김희근
국제관,="0107",725,건축법규,석민철
국제관,="0108",112,인클루시브리터러시의힘,김용하
국제관,="0108",120,수리학Ⅱ,류권규
국제관,="0108",127,영화속의과학이해,이혜진
국제관,="0108",229,대중음악의역사와문화,손명균
국제관,="0108",313,의사결정설계및분석,백천현
국제관,="0108",318,기기분석특론,정민수
국제관,="0108",327,여대생진로설계,이정원
국제관,="0108",403,도시정책론,윤상복
국제관,="0108",427,물리화학Ⅱ,강병철
국제관,="0108",520,표면공학특론,정찬영
국제관,="0108",603-1,건축기술특론,설현석
국제관,="0108",613,고급캡스톤디자인,양진국
국제관,="0108",614,고급캡스톤디자인,이상범
국제관,="0108",618,친환경주거시설에대한이해,박경순
국제관,="0108",619,고급캡스톤디자인,박률
국제관,="0108",620,고급캡스톤디자인,이형래
국제관,="0108",725,건축법규,석민철
국제관,="0109",207,전공실기Ⅵ,최진현
국제관,="0109",209,전공실기Ⅵ,김성숙
국제관,="0109",301-1,졸업연주Ⅰ,하기종
국제관,="0110",112,창의캡스톤디자인,민병현
국제관,="0110",113,창의캡스톤디자인,손영석
국제관,="0110",115-B,접합공학특론,이상필
국제관,="0110",119,창의캡스톤디자인,이두호
국제관,="0110",121,구조진동론Ⅰ,이석민
국제관,="0110",221,구조역학특론,황주영
국제관,="0110",421,물재이용특론,정병길
국제관,="0111",115-B,접합공학특론,이상필
국제관,="0111",121,구조진동론Ⅰ,이석민
국제관,="0111",221,구조역학특론,황주영
국제관,="0111",421,물재이용특론,정병길
국제관,="0112",421,물재이용특론,정병길
국제관,="0113",206,전공실기(박)Ⅰ,김세미
국제관,="0114",510,교실 악기 실습 I,최연지
국제관,="0201",104,기업연계프로젝트Ⅱ,김권동
국제관,="0201",115,조형기법Ⅳ,강태훈
국제관,="0201",203,라이노CADⅡ,김미선
